object_id,avg_load_throughput_fill (ops/s),avg_run_throughput (ops/s)
6,116083331.83333333,130474387.5
7,114293221.66666667,167478364.83333334
15,18437868.833333332,156663591.66666666
17,100444720.66666667,195975545.83333334
20,227496432.83333334,391183449.3333333
24,8461411.166666666,40175108.0
