object_id,normalized_time,memory_mb
6,0.000000,294.816000
6,0.020408,298.820000
6,0.040816,298.820000
6,0.061224,298.820000
6,0.081633,298.820000
6,0.102041,298.820000
6,0.122449,298.820000
6,0.142857,298.820000
6,0.163265,874.824000
6,0.183673,586.820000
6,0.204082,586.820000
6,0.224490,586.820000
6,0.244898,586.820000
6,0.265306,586.820000
6,0.285714,586.820000
6,0.306122,586.820000
6,0.326531,586.820000
6,0.346939,586.820000
6,0.367347,1738.824000
6,0.387755,1738.824000
6,0.408163,1162.820000
6,0.428571,1162.820000
6,0.448980,1162.820000
6,0.469388,1162.820000
6,0.489796,1162.820000
6,0.510204,1162.820000
6,0.530612,1162.820000
6,0.551020,1162.820000
6,0.571429,1162.820000
6,0.591837,1162.820000
6,0.612245,1162.820000
6,0.632653,1162.820000
6,0.653061,1162.820000
6,0.673469,1162.820000
6,0.693878,1162.820000
6,0.714286,1162.820000
6,0.734694,3466.824000
6,0.755102,3466.824000
6,0.775510,3466.824000
6,0.795918,3466.824000
6,0.816327,2314.820000
6,0.836735,2314.820000
6,0.857143,2314.820000
6,0.877551,2314.820000
6,0.897959,2314.820000
6,0.918367,2314.820000
6,0.938776,2314.820000
6,0.959184,2314.820000
6,0.979592,2314.820000
6,1.000000,2314.820000
7,0.000000,262.812000
7,0.020408,317.164000
7,0.040816,317.164000
7,0.061224,317.164000
7,0.081633,317.164000
7,0.102041,317.164000
7,0.122449,317.164000
7,0.142857,627.516000
7,0.163265,627.516000
7,0.183673,627.516000
7,0.204082,627.516000
7,0.224490,627.516000
7,0.244898,627.516000
7,0.265306,1139.516000
7,0.285714,1248.211000
7,0.306122,1248.211000
7,0.326531,1248.211000
7,0.346939,1248.211000
7,0.367347,1248.211000
7,0.387755,1248.211000
7,0.408163,1248.211000
7,0.428571,1248.211000
7,0.448980,1248.211000
7,0.469388,1248.211000
7,0.489796,1248.211000
7,0.510204,1248.211000
7,0.530612,1248.211000
7,0.551020,1248.211000
7,0.571429,2272.211000
7,0.591837,2489.594000
7,0.612245,2489.594000
7,0.632653,2489.594000
7,0.653061,2489.594000
7,0.673469,2489.594000
7,0.693878,2489.594000
7,0.714286,2489.594000
7,0.734694,2489.594000
7,0.755102,2489.594000
7,0.775510,2489.594000
7,0.795918,2489.594000
7,0.816327,2489.594000
7,0.836735,2489.594000
7,0.857143,2489.594000
7,0.877551,2489.594000
7,0.897959,2489.594000
7,0.918367,2489.594000
7,0.938776,2489.594000
7,0.959184,2489.594000
7,0.979592,2489.594000
7,1.000000,2489.594000
15,0.000000,262.816000
15,0.020408,262.816000
15,0.040816,262.816000
15,0.061224,262.816000
15,0.081633,262.816000
15,0.102041,262.816000
15,0.122449,262.816000
15,0.142857,774.984000
15,0.163265,774.984000
15,0.183673,774.984000
15,0.204082,774.984000
15,0.224490,774.984000
15,0.244898,774.984000
15,0.265306,774.984000
15,0.285714,1798.988000
15,0.306122,1798.988000
15,0.326531,1798.988000
15,0.346939,1798.988000
15,0.367347,1798.988000
15,0.387755,1798.988000
15,0.408163,1798.988000
15,0.428571,1798.988000
15,0.448980,1798.988000
15,0.469388,1798.988000
15,0.489796,1798.988000
15,0.510204,1798.988000
15,0.530612,1798.988000
15,0.551020,1798.988000
15,0.571429,3846.992000
15,0.591837,3846.992000
15,0.612245,3846.992000
15,0.632653,3846.992000
15,0.653061,3846.992000
15,0.673469,3846.992000
15,0.693878,3846.992000
15,0.714286,3846.992000
15,0.734694,3846.992000
15,0.755102,3846.992000
15,0.775510,3846.992000
15,0.795918,3846.992000
15,0.816327,3846.992000
15,0.836735,3846.992000
15,0.857143,3846.992000
15,0.877551,3846.992000
15,0.897959,3846.992000
15,0.918367,3846.992000
15,0.938776,3846.992000
15,0.959184,3846.992000
15,0.979592,3846.992000
15,1.000000,3846.992000
18,0.000000,386.074000
18,0.020408,386.074000
18,0.040816,386.074000
18,0.061224,386.074000
18,0.081633,402.227000
18,0.102041,457.672000
18,0.122449,520.469000
18,0.142857,567.105000
18,0.163265,617.703000
18,0.183673,672.809000
18,0.204082,763.695000
18,0.224490,829.113000
18,0.244898,832.531000
18,0.265306,946.629000
18,0.285714,988.391000
18,0.306122,1031.938000
18,0.326531,1077.355000
18,0.346939,1124.730000
18,0.367347,1126.859000
18,0.387755,1225.902000
18,0.408163,1279.727000
18,0.428571,1336.055000
18,0.448980,1282.125000
18,0.469388,1338.414000
18,0.489796,1455.938000
18,0.510204,1520.051000
18,0.530612,1458.699000
18,0.551020,1651.020000
18,0.571429,1586.953000
18,0.591837,1720.383000
18,0.612245,1649.477000
18,0.632653,1788.594000
18,0.653061,1859.512000
18,0.673469,1782.516000
18,0.693878,1933.559000
18,0.714286,1853.297000
18,0.734694,2010.570000
18,0.755102,1926.891000
18,0.775510,2091.008000
18,0.795918,2003.750000
18,0.816327,2174.703000
18,0.836735,2083.699000
18,0.857143,2261.977000
18,0.877551,2167.047000
18,0.897959,2353.180000
18,0.918367,2254.137000
18,0.938776,2254.137000
18,0.959184,2448.129000
18,0.979592,2344.781000
18,1.000000,2344.781000
21,0.000000,167.277000
21,0.020408,572.266000
21,0.040816,572.266000
21,0.061224,572.266000
21,0.081633,572.266000
21,0.102041,572.266000
21,0.122449,661.531000
21,0.142857,732.559000
21,0.163265,732.719000
21,0.183673,840.578000
21,0.204082,913.449000
21,0.224490,1024.160000
21,0.244898,1099.312000
21,0.265306,1099.570000
21,0.285714,1316.090000
21,0.306122,1316.383000
21,0.326531,1387.262000
21,0.346939,1601.555000
21,0.367347,1673.938000
21,0.387755,1746.586000
21,0.408163,1819.641000
21,0.428571,1820.047000
21,0.448980,1967.059000
21,0.469388,2041.461000
21,0.489796,2116.355000
21,0.510204,2191.766000
21,0.530612,2116.844000
21,0.551020,2192.277000
21,0.571429,2420.199000
21,0.591837,2344.223000
21,0.612245,2484.766000
21,0.632653,2767.035000
21,0.653061,2909.410000
21,0.673469,2767.652000
21,0.693878,3052.465000
21,0.714286,2910.055000
21,0.734694,3053.141000
21,0.755102,3340.875000
21,0.775510,3197.074000
21,0.795918,3486.172000
21,0.816327,3341.621000
21,0.836735,3632.285000
21,0.857143,3486.953000
21,0.877551,3779.254000
21,0.897959,3633.102000
21,0.918367,3927.121000
