case_id,object_id,load_factor,throughput (ops/s),latency (ns/op),real_memory (MB),virtual_memory (MB),virtual_memory_case1 (MB),space_efficiency,throughput_millions
1,4,0.05,16390502.6,60.4,240.46099999999998,240.254,240.254,0.05327694856277107,16.3905026
1,4,0.1,16649193.6,59.5,240.484,240.254,240.254,0.10655389712554214,16.6491936
1,4,0.15,16450606.2,60.2,240.461,240.254,240.254,0.1598308456883132,16.4506062
1,4,0.2,16086458.1,61.4,240.519,240.254,240.254,0.21310779425108428,16.086458099999998
1,4,0.25,15699827.8,63.0,240.40200000000002,240.254,240.254,0.2663847428138553,15.699827800000001
1,4,0.3,15193302.6,65.2,240.461,240.254,240.254,0.3196616913766264,15.193302599999999
1,4,0.35,14714246.6,67.4,242.282,240.254,240.254,0.37293863993939746,14.7142466
1,4,0.4,13573814.2,76.6,240.465,240.254,240.254,0.42621558850216856,13.5738142
1,4,0.45,13893050.4,71.4,240.519,240.254,240.254,0.47949253706493966,13.8930504
1,4,0.5,13436512.6,74.1,240.445,240.254,240.254,0.5327694856277106,13.4365126
1,4,0.55,12983586.9,76.5,240.32,240.254,240.254,0.5860464341904819,12.9835869
1,4,0.6,12664001.0,78.2,240.403,240.254,240.254,0.6393233827532528,12.664001
1,4,0.65,12277061.2,81.2,240.402,240.254,240.254,0.6926003313160239,12.277061199999999
1,4,0.7,11936441.6,83.2,240.399,240.254,240.254,0.7458772798787949,11.9364416
1,4,0.75,11616349.5,85.4,242.199,240.254,240.254,0.799154228441566,11.6163495
1,4,0.8,11341050.5,88.0,240.461,240.254,240.254,0.8524311770043371,11.3410505
1,4,0.85,11005763.7,90.5,240.402,240.254,240.254,0.9057081255671081,11.0057637
1,4,0.9,10708262.3,92.7,240.44500000000002,240.254,240.254,0.9589850741298793,10.708262300000001
1,4,0.95,10482355.0,94.9,240.46099999999998,240.254,240.254,1.0122620226926502,10.482355
1,4,0.99,10275319.7,96.8,240.418,240.254,240.254,1.0548835815428672,10.275319699999999
1,23,0.05,22202754.6,44.9,304.063,303.898,303.898,0.04211939532343089,22.202754600000002
1,23,0.1,22869193.7,43.2,304.004,303.898,303.898,0.08423879064686178,22.8691937
1,23,0.15,22748656.4,43.4,304.136,303.898,303.898,0.12635818597029264,22.748656399999998
1,23,0.2,22623332.6,43.6,304.06300000000005,303.898,303.898,0.16847758129372356,22.6233326
1,23,0.25,22452854.2,44.1,305.793,303.898,303.898,0.21059697661715443,22.4528542
1,23,0.3,22507685.6,43.9,305.839,303.898,303.898,0.25271637194058527,22.507685600000002
1,23,0.35,22465656.2,44.0,304.231,303.898,303.898,0.29483576726401617,22.465656199999998
1,23,0.4,22304093.6,44.3,304.137,303.898,303.898,0.3369551625874471,22.3040936
1,23,0.45,22034681.0,45.0,304.008,303.898,303.898,0.37907455791087796,22.034681
1,23,0.5,21786047.8,45.5,308.039,311.285,311.285,0.41119874070385654,21.786047800000002
1,23,0.55,21564222.4,46.0,304.06600000000003,303.898,303.898,0.46331334855773976,21.5642224
