case_id,object_id,load_factor,avg_throughput (ops/s),avg_latency (ns/op),avg_real_memory (MB),avg_virtual_memory (MB),avg_virtual_memory_case1 (MB),space_efficiency,throughput_millions
1,20,0.05,19977411.8,49.8,305.718,303.898,303.898,0.04211939532343089,19.977411800000002
1,20,0.1,20097811.4,49.1,305.73400000000004,303.898,303.898,0.08423879064686178,20.097811399999998
1,20,0.15,19898950.7,49.6,305.68800000000005,303.898,303.898,0.12635818597029264,19.8989507
1,20,0.2,19801283.0,49.9,305.73,303.898,303.898,0.16847758129372356,19.801283
1,20,0.25,19777348.0,50.3,305.868,303.898,303.898,0.21059697661715443,19.777348
1,20,0.3,19465757.3,50.9,305.734,303.898,303.898,0.25271637194058527,19.4657573
1,20,0.35,19247901.9,51.4,305.68,303.898,303.898,0.29483576726401617,19.2479019
1,20,0.4,18965151.5,52.3,305.85900000000004,303.898,303.898,0.3369551625874471,18.9651515
1,20,0.45,18238418.8,54.5,305.64500000000004,303.898,303.898,0.37907455791087796,18.2384188
1,20,0.5,18081260.9,55.0,305.69500000000005,303.898,303.898,0.42119395323430886,18.0812609
1,20,0.55,18152182.9,54.7,305.73900000000003,303.898,303.898,0.46331334855773976,18.1521829
1,20,0.6,17780585.8,55.9,305.699,303.898,303.898,0.5054327438811705,17.7805858
1,20,0.65,17570393.0,56.3,305.691,303.898,303.898,0.5475521392046016,17.570393
1,20,0.7,17296854.8,57.5,305.684,303.898,303.898,0.5896715345280323,17.296854800000002
1,20,0.75,16475207.6,60.6,305.74600000000004,303.898,303.898,0.6317909298514632,16.4752076
1,20,0.8,16667012.6,59.6,305.75,303.898,303.898,0.6739103251748942,16.6670126
1,20,0.85,16318955.9,60.8,305.71099999999996,303.898,303.898,0.716029720498325,16.3189559
1,20,0.9,15939564.3,62.3,305.688,303.898,303.898,0.7581491158217559,15.9395643
1,20,0.95,15453047.9,64.3,305.699,303.898,303.898,0.8002685111451868,15.4530479
1,20,0.99,15159418.0,65.5,305.67600000000004,303.898,303.898,0.8339640274039315,15.159418
9,6,0.05,13505852.6,75.5,313.97999999999996,316.093,292.007,0.04383456560972854,13.505852599999999
9,6,0.1,12185798.6,81.7,335.23,340.093,292.007,0.08766913121945707,12.1857986
9,6,0.15,11409664.8,87.3,355.863,388.093,298.734,0.12854244913535118,11.409664800000002
9,6,0.2,10882806.9,91.4,375.488,388.093,292.007,0.17533826243891415,10.8828069
9,6,0.25,10521699.4,94.5,399.199,420.089,292.007,0.21917282804864266,10.521699400000001
9,6,0.3,10410094.0,95.5,431.121,516.097,298.734,0.25708489827070236,10.410094
9,6,0.35,10409905.9,95.6,430.629,484.093,292.007,0.3068419592680997,10.4099059
9,6,0.4,10461649.3,95.2,452.204,484.093,292.007,0.3506765248778283,10.461649300000001
9,6,0.45,10512144.3,94.5,470.422,484.093,292.007,0.3945110904875568,10.512144300000001
9,6,0.5,10436573.8,95.4,486.195,516.097,292.007,0.4383456560972853,10.436573800000001
9,6,0.55,10396096.9,95.6,507.433,676.0930000000001,292.007,0.4821802217070139,10.3960969
9,6,0.6,10397066.6,95.8,530.57,676.0930000000001,292.007,0.5260147873167423,10.3970666
9,6,0.65,10432715.0,95.3,554.2180000000001,740.097,292.007,0.569849352926471,10.432715
9,6,0.7,10332519.2,96.4,566.637,740.097,292.007,0.6136839185361994,10.3325192
9,6,0.75,10540325.1,94.3,582.832,676.0930000000001,292.007,0.657518484145928,10.5403251
9,6,0.8,10553511.6,94.2,607.703,682.82,292.007,0.7013530497556566,10.5535116
9,7,0.05,18939763.9,52.3,330.524,330.437,310.351,0.04124362415458626,18.9397639
9,7,0.1,19003402.1,52.3,353.278,358.44500000000005,310.351,0.08248724830917252,19.003402100000002
9,7,0.15,19332596.0,51.4,372.105,406.44500000000005,310.351,0.12373087246375877,19.332596
9,7,0.2,19512754.3,50.6,394.77700000000004,406.44500000000005,310.351,0.16497449661834504,19.5127543
9,7,0.25,19061513.6,52.3,124851.781,145054.887,310.351,0.2062181207729313,19.0615136
9,7,0.3,18902949.3,53.1,125339.703,145118.887,310.351,0.24746174492751755,18.9029493
9,7,0.35,19261107.5,51.3,466.175,534.4490000000001,310.351,0.2887053690821038,19.2611075
9,7,0.4,19175221.8,51.8,125402.793,145118.887,310.351,0.3299489932366901,19.1752218
9,7,0.45,18915190.0,52.5,125482.062,145118.887,310.351,0.37119261739127635,18.91519
9,7,0.5,18804006.3,52.6,125465.555,145118.887,310.351,0.4124362415458626,18.8040063
9,7,0.55,18452979.3,53.7,125568.168,145246.887,310.351,0.4536798657004489,18.4529793
9,7,0.6,18514388.4,53.4,125576.898,145246.887,310.351,0.4949234898550351,18.514388399999998
9,7,0.65,18313152.1,54.4,565.582,694.445,310.351,0.5361671140096214,18.3131521
9,7,0.7,18225528.5,54.3,125633.82,145246.887,310.351,0.5774107381642076,18.2255285
9,7,0.75,18033499.6,54.7,125614.312,145246.887,310.351,0.6186543623187939,18.033499600000003
9,7,0.8,17908819.1,55.4,125554.191,145246.887,317.078,0.6458978547865195,17.908819100000002
9,7,0.85,17572914.9,56.5,125581.469,145246.887,310.351,0.7011416106279664,17.572914899999997
9,7,0.9,16987902.6,58.4,125628.918,145246.887,310.351,0.7423852347825527,16.9879026
9,7,0.95,16697610.0,59.3,682.902,694.445,310.351,0.7836288589371389,16.69761
9,7,0.99,16368174.9,60.6,125663.898,145246.887,310.351,0.8166237582608079,16.3681749
9,15,0.05,48825345.4,20.2,278.60900000000004,280.089,256.00300000000004,0.049999414069366366,48.825345399999996
9,15,0.1,47402303.6,20.4,298.207,304.089,256.00300000000004,0.09999882813873273,47.4023036
9,15,0.15,45592621.6,21.2,318.82,352.089,256.00300000000004,0.1499982422080991,45.5926216
9,15,0.2,43778210.9,22.2,338.56300000000005,352.089,256.00300000000004,0.19999765627746546,43.7782109
9,15,0.25,42325204.9,23.0,354.125,384.08500000000004,256.00300000000004,0.24999707034683183,42.325204899999996
9,15,0.3,40596244.1,24.1,375.059,448.089,256.00300000000004,0.2999964844161982,40.5962441
9,15,0.35,39020264.8,25.1,395.48900000000003,448.089,256.00300000000004,0.34999589848556456,39.0202648
9,15,0.4,37428498.1,26.0,416.051,448.089,256.00300000000004,0.3999953125549309,37.4284981
9,15,0.45,35446828.8,28.0,433.0,448.089,256.00300000000004,0.4499947266242973,35.4468288
9,15,0.5,33239305.9,29.4,449.875,448.089,256.00300000000004,0.49999414069366366,33.2393059
9,15,0.55,31237922.1,31.4,472.278,640.089,256.00300000000004,0.54999355476303,31.237922100000002
9,15,0.6,28794793.5,34.1,490.57800000000003,640.089,256.00300000000004,0.5999929688323964,28.7947935
9,15,0.65,26316745.6,37.3,511.469,640.089,256.00300000000004,0.6499923829017628,26.3167456
9,15,0.7,23826835.8,41.4,529.015,640.089,256.00300000000004,0.6999917969711291,23.8268358
9,15,0.75,21665850.7,45.6,548.687,640.089,256.00300000000004,0.7499912110404955,21.6658507
9,17,0.05,16195204.4,60.8,255.957,258.492,240.382,0.05324857934454327,16.1952044
9,17,0.1,14945386.1,66.6,286.21799999999996,288.5,240.382,0.10649715868908655,14.9453861
9,17,0.15,13873922.3,71.7,304.266,336.5,240.382,0.1597457380336298,13.8739223
9,17,0.2,13538998.9,73.4,322.32,336.5,240.382,0.2129943173781731,13.538998900000001
9,17,0.25,13020059.9,76.2,338.406,336.5,240.382,0.26624289672271634,13.0200599
9,17,0.3,12659679.4,78.7,359.895,432.5,240.382,0.3194914760672596,12.6596794
9,17,0.35,12367668.4,80.3,381.449,432.5,240.382,0.37274005541180283,12.367668400000001
9,17,0.4,11988884.7,82.6,400.442,432.5,240.382,0.4259886347563462,11.9888847
9,17,0.45,11650055.3,85.5,416.70300000000003,432.5,240.382,0.47923721410088943,11.6500553
9,17,0.5,11414723.6,87.1,434.399,432.5,240.382,0.5324857934454327,11.4147236
9,17,0.55,11068399.9,89.9,457.808,624.5,240.382,0.585734372789976,11.068399900000001
9,17,0.6,10788834.7,92.3,475.5,624.5,240.382,0.6389829521345192,10.788834699999999
9,17,0.65,10561003.4,94.3,497.68800000000005,624.5,240.382,0.6922315314790625,10.5610034
9,17,0.7,10249161.8,97.1,515.71,624.5,240.382,0.7454801108236057,10.249161800000001
9,17,0.75,10013433.2,99.4,532.714,624.5,240.382,0.798728690168149,10.0134332
9,17,0.8,9774403.0,101.8,550.996,624.5,240.382,0.8519772695126924,9.774403
9,17,0.85,9569071.6,104.0,571.773,624.5,240.382,0.9052258488572356,9.5690716
9,17,0.9,9342704.0,106.6,590.937,688.503,240.382,0.9584744282017789,9.342704
9,17,0.95,9129306.8,108.9,611.328,624.5,240.382,1.011723007546322,9.1293068
9,17,0.99,8982049.1,110.9,624.84,688.503,240.382,1.0543218710219566,8.9820491
9,20,0.05,21905479.1,45.3,327.418,328.011,303.898,0.04211939532343089,21.9054791
9,20,0.1,21649633.7,45.5,346.46099999999996,352.011,303.898,0.08423879064686178,21.6496337
9,20,0.15,21347322.7,46.3,368.35900000000004,400.011,303.898,0.12635818597029264,21.3473227
9,20,0.2,21291087.8,46.6,386.633,400.011,303.898,0.16847758129372356,21.2910878
9,20,0.25,21028014.5,47.3,402.024,400.011,303.898,0.21059697661715443,21.0280145
9,20,0.3,21006905.2,47.1,424.535,496.011,303.898,0.25271637194058527,21.0069052
9,20,0.35,20705882.3,48.0,442.199,496.011,303.898,0.29483576726401617,20.705882300000003
9,20,0.4,20181395.5,49.1,462.5,496.011,303.898,0.3369551625874471,20.1813955
9,20,0.45,19234225.9,54.3,483.37899999999996,528.015,303.898,0.37907455791087796,19.2342259
9,20,0.5,19874562.5,49.8,498.024,496.011,303.898,0.42119395323430886,19.8745625
9,20,0.55,19529526.3,50.6,518.0659999999999,688.0110000000001,303.898,0.46331334855773976,19.5295263
9,20,0.6,19199739.8,51.8,537.336,688.0110000000001,303.898,0.5054327438811705,19.1997398
9,20,0.65,18769945.3,53.0,560.8670000000001,752.015,303.898,0.5475521392046016,18.7699453
9,20,0.7,18347384.6,54.0,580.6170000000001,688.0110000000001,303.898,0.5896715345280323,18.3473846
9,20,0.75,17861439.7,55.3,595.8829999999999,688.0110000000001,303.898,0.6317909298514632,17.8614397
9,20,0.8,17522376.0,56.3,620.25,752.015,303.898,0.6739103251748942,17.522376
9,20,0.85,17115678.9,58.0,633.203,752.015,303.898,0.716029720498325,17.1156789
9,20,0.9,16753230.2,59.2,654.719,688.0110000000001,303.898,0.7581491158217559,16.7532302
9,20,0.95,16411079.4,60.2,672.149,752.015,303.898,0.8002685111451868,16.411079400000002
9,20,0.99,16108708.7,61.5,686.097,688.0110000000001,303.898,0.8339640274039315,16.108708699999998
10,6,0.05,13981016.0,71.0,308.742,308.17100000000005,292.007,0.04383456560972854,13.981016
10,6,0.1,13108468.1,75.7,337.539,340.093,292.007,0.08766913121945707,13.1084681
10,6,0.15,12595618.8,79.0,354.445,388.093,298.734,0.12854244913535118,12.5956188
10,6,0.2,12166339.0,81.5,372.332,388.093,292.007,0.17533826243891415,12.166339
10,6,0.25,11762390.9,84.4,389.883,388.093,292.007,0.21917282804864266,11.7623909
10,6,0.3,11369394.1,87.5,412.59,484.093,298.734,0.25708489827070236,11.3693941
10,6,0.35,10990385.8,90.2,438.867,516.097,292.007,0.3068419592680997,10.9903858
10,6,0.4,10560296.6,94.2,449.848,484.093,292.007,0.3506765248778283,10.5602966
10,6,0.45,10216304.3,97.4,469.652,484.093,292.007,0.3945110904875568,10.216304300000001
10,6,0.5,9933294.2,100.1,486.062,484.093,292.007,0.4383456560972853,9.933294199999999
10,6,0.55,9704114.0,102.6,524.055,740.097,292.007,0.4821802217070139,9.704114
10,6,0.6,9586245.9,103.8,529.1170000000001,676.0930000000001,292.007,0.5260147873167423,9.5862459
10,6,0.65,9500247.5,104.7,545.621,676.0930000000001,292.007,0.569849352926471,9.5002475
10,6,0.7,9440020.6,105.4,564.4879999999999,676.0930000000001,292.007,0.6136839185361994,9.4400206
10,6,0.75,9515978.3,104.3,585.52,676.0930000000001,292.007,0.657518484145928,9.5159783
10,6,0.8,9752847.5,102.0,605.121,676.0930000000001,292.007,0.7013530497556566,9.7528475
10,7,0.05,17672553.8,56.4,335.805,334.44500000000005,310.351,0.04124362415458626,17.6725538
10,7,0.1,18215347.6,55.6,125678.81999999999,145016.15999999997,310.351,0.08248724830917252,18.2153476
10,7,0.15,19340569.4,51.2,382.765,406.44500000000005,310.351,0.12373087246375877,19.3405694
10,7,0.2,19411861.5,50.9,125705.062,145054.887,310.351,0.16497449661834504,19.4118615
10,7,0.25,18585898.9,54.8,408.53499999999997,406.44500000000005,310.351,0.2062181207729313,18.5858989
10,7,0.3,18556434.3,53.4,430.746,502.44500000000005,310.351,0.24746174492751755,18.5564343
10,7,0.35,18901594.6,52.6,449.719,502.44500000000005,310.351,0.2887053690821038,18.901594600000003
10,7,0.4,18601000.1,53.2,125681.23,145118.887,310.351,0.3299489932366901,18.6010001
10,7,0.45,18236007.4,54.6,125688.914,145118.887,310.351,0.37119261739127635,18.2360074
10,7,0.5,17875688.2,55.3,125766.148,145118.887,310.351,0.4124362415458626,17.8756882
10,7,0.55,17529760.6,56.5,125748.375,145246.887,310.351,0.4536798657004489,17.529760600000003
10,7,0.6,16980807.8,58.5,125747.566,145246.887,310.351,0.4949234898550351,16.9808078
10,7,0.65,17252858.3,57.6,562.9019999999999,694.445,310.351,0.5361671140096214,17.2528583
10,7,0.7,16780793.3,59.1,125768.508,145246.887,310.351,0.5774107381642076,16.7807933
10,7,0.75,16612398.0,59.8,604.477,758.4490000000001,310.351,0.6186543623187939,16.612398
10,7,0.8,16284639.4,60.9,125767.254,145246.887,317.078,0.6458978547865195,16.2846394
10,7,0.85,16123410.8,61.6,125802.395,145246.887,310.351,0.7011416106279664,16.123410800000002
10,7,0.9,15589270.2,63.6,125783.191,145246.887,310.351,0.7423852347825527,15.5892702
10,7,0.95,15394896.6,64.5,681.0,694.445,310.351,0.7836288589371389,15.3948966
10,7,0.99,15252613.0,65.1,693.289,694.445,310.351,0.8166237582608079,15.252613
10,15,0.05,46358107.0,21.1,271.402,272.168,256.00300000000004,0.049999414069366366,46.358107
10,15,0.1,43244925.2,22.8,309.363,320.08500000000004,256.00300000000004,0.09999882813873273,43.244925200000004
10,15,0.15,40789655.0,24.0,333.61,384.08500000000004,256.00300000000004,0.1499982422080991,40.789655
10,15,0.2,38045300.6,26.0,337.57800000000003,352.089,256.00300000000004,0.19999765627746546,38.045300600000004
10,15,0.25,35367211.9,28.0,354.07,352.089,256.00300000000004,0.24999707034683183,35.3672119
10,15,0.3,32577454.0,30.0,377.344,480.093,256.00300000000004,0.2999964844161982,32.577454
10,15,0.35,29687698.3,33.1,397.718,448.089,256.00300000000004,0.34999589848556456,29.6876983
10,15,0.4,26941258.9,36.6,414.906,448.089,256.00300000000004,0.3999953125549309,26.941258899999998
10,15,0.45,24528441.8,40.1,434.02299999999997,448.089,256.00300000000004,0.4499947266242973,24.5284418
10,15,0.5,21955109.5,45.1,450.032,448.089,256.00300000000004,0.49999414069366366,21.9551095
10,15,0.55,19500784.7,50.9,473.601,640.089,256.00300000000004,0.54999355476303,19.5007847
10,15,0.6,17021691.7,58.2,489.227,704.0930000000001,256.00300000000004,0.5999929688323964,17.021691699999998
10,15,0.65,14707322.8,67.4,512.793,640.089,256.00300000000004,0.6499923829017628,14.7073228
10,15,0.7,12678795.2,78.3,528.6560000000001,640.089,256.00300000000004,0.6999917969711291,12.6787952
10,15,0.75,10936964.1,91.0,556.231,704.0930000000001,256.00300000000004,0.7499912110404955,10.936964099999999
10,17,0.05,37494544.2,26.4,256.367,256.49600000000004,240.382,0.05324857934454327,37.4945442
10,17,0.1,36553266.4,26.9,282.72200000000004,288.5,240.382,0.10649715868908655,36.5532664
10,17,0.15,33503072.7,29.3,302.22700000000003,336.5,240.382,0.1597457380336298,33.5030727
10,17,0.2,30356809.9,32.4,321.403,336.5,240.382,0.2129943173781731,30.3568099
10,17,0.25,27452817.7,36.1,338.574,336.5,240.382,0.26624289672271634,27.4528177
10,17,0.3,24796507.5,39.8,360.645,432.5,240.382,0.3194914760672596,24.7965075
10,17,0.35,22803569.8,43.4,379.696,432.5,240.382,0.37274005541180283,22.803569800000002
10,17,0.4,21093783.0,47.0,398.692,432.5,240.382,0.4259886347563462,21.093783
10,17,0.45,19637617.8,50.4,420.12899999999996,432.5,240.382,0.47923721410088943,19.6376178
10,17,0.5,18309975.5,54.2,434.586,464.50300000000004,240.382,0.5324857934454327,18.3099755
10,17,0.55,17276780.8,57.2,481.687,688.503,240.382,0.585734372789976,17.2767808
10,17,0.6,16179237.8,61.3,473.05100000000004,688.503,240.382,0.6389829521345192,16.1792378
10,17,0.65,15275373.2,65.1,495.92600000000004,624.5,240.382,0.6922315314790625,15.275373199999999
10,17,0.7,14496070.4,68.4,513.653,624.5,240.382,0.7454801108236057,14.4960704
10,17,0.75,13752286.7,72.2,534.3050000000001,624.5,240.382,0.798728690168149,13.752286699999999
10,17,0.8,13066930.4,75.9,552.3240000000001,624.5,240.382,0.8519772695126924,13.0669304
10,17,0.85,12516119.1,79.5,576.125,631.227,240.382,0.9052258488572356,12.5161191
10,17,0.9,11945391.9,83.3,589.484,624.5,240.382,0.9584744282017789,11.9453919
10,17,0.95,11493761.6,86.3,607.797,624.5,240.382,1.011723007546322,11.4937616
10,17,0.99,11035848.3,90.0,622.606,688.503,240.382,1.0543218710219566,11.035848300000001
10,20,0.05,24531397.0,40.2,321.942,320.007,303.898,0.04211939532343089,24.531397
10,20,0.1,24529353.6,40.4,346.269,352.011,303.898,0.08423879064686178,24.5293536
10,20,0.15,24648418.2,40.0,388.18699999999995,432.011,303.898,0.12635818597029264,24.6484182
10,20,0.2,24600338.6,40.0,387.17199999999997,400.011,303.898,0.16847758129372356,24.6003386
10,20,0.25,24514827.6,40.2,401.93,400.011,303.898,0.21059697661715443,24.5148276
10,20,0.3,24492541.7,40.1,424.566,496.011,303.898,0.25271637194058527,24.4925417
10,20,0.35,24449353.2,40.3,445.387,496.011,303.898,0.29483576726401617,24.4493532
10,20,0.4,24528301.0,40.0,462.121,496.011,303.898,0.3369551625874471,24.528301
10,20,0.45,24480485.3,40.1,482.16,528.015,303.898,0.37907455791087796,24.4804853
10,20,0.5,24435419.9,40.3,497.946,496.011,303.898,0.42119395323430886,24.4354199
10,20,0.55,24430819.0,40.2,519.1999999999999,688.0110000000001,303.898,0.46331334855773976,24.430819
10,20,0.6,24385766.5,40.5,538.4019999999999,688.0110000000001,303.898,0.5054327438811705,24.3857665
10,20,0.65,24385773.4,40.2,557.027,688.0110000000001,303.898,0.5475521392046016,24.385773399999998
10,20,0.7,24330455.0,40.6,580.856,752.015,303.898,0.5896715345280323,24.330455
10,20,0.75,24328958.0,41.0,599.227,688.0110000000001,303.898,0.6317909298514632,24.328958
10,20,0.8,24222722.7,41.0,617.71,688.0110000000001,303.898,0.6739103251748942,24.2227227
10,20,0.85,24257160.5,41.0,633.0509999999999,688.0110000000001,303.898,0.716029720498325,24.2571605
10,20,0.9,24244665.4,41.0,653.1139999999999,688.0110000000001,303.898,0.7581491158217559,24.2446654
10,20,0.95,24174827.8,41.0,673.735,688.0110000000001,303.898,0.8002685111451868,24.1748278
10,20,0.99,24198051.9,41.0,688.4490000000001,688.0110000000001,303.898,0.8339640274039315,24.1980519
