case_id,object_id,throughput
1,32,37498060
1,33,16116837
1,34,12959782
1,35,28750207
3,32,49621725
3,33,40033868
3,34,50851004
3,35,123308485
6,32,27870980
6,33,18963043
6,34,48443636
6,35,97931017
7,32,27351826
7,33,18704321
7,34,47497472
7,35,95945341
