object_id,avg_load_throughput_fill (ops/s),avg_run_throughput (ops/s)
6,120594654.16666667,303598682.8333333
7,111858235.0,167879054.33333334
15,18884462.5,203461626.33333334
17,102097105.16666667,221992746.33333334
20,237007400.66666666,408712634.6666667
24,8597123.166666666,39228124.0
