case_id,entry_id,object_id,fill_throughput (ops/s),run_throughput (ops/s)
17,0,6,120916872,149796571
17,0,7,112788006,132104062
17,0,15,19212385,28351864
17,0,17,102770082,111291648
17,0,20,234646377,233422135
17,0,24,8620277,14085185
18,0,6,119198692,312134251
18,0,7,111848106,197437081
18,0,15,18365863,70411146
18,0,17,102300097,149696328
18,0,20,238821580,279970229
18,0,24,8499096,35835352
19,0,6,120482700,424739645
19,0,7,112788006,215092512
19,0,15,18260915,554618710
19,0,17,101989155,160547521
19,0,20,237133795,290514562
19,0,24,8708650,103085812
20,0,6,121135133,149796571
20,0,7,109655006,130308473
20,0,15,19217887,25200474
20,0,17,101989155,138798064
20,0,20,234646377,282563637
20,0,24,8480837,12607338
21,0,6,121135133,343619375
21,0,7,112222180,157569532
21,0,15,18893261,55891449
21,0,17,100764060,285326802
21,0,20,238821580,537300752
21,0,24,8566359,32637323
22,0,6,120699395,441505684
22,0,7,111848106,174762666
22,0,15,19356464,486296115
22,0,17,102770082,486296115
22,0,20,237974695,828504493
22,0,24,8707520,37117734
17,1,6,25950836,38011251
17,1,7,67581937,59865177
17,1,15,4171361,5209304
17,1,18,30657315,32086475
17,1,21,35658269,49545119
17,1,24,10606743,16253054
18,1,6,26441632,123067786
18,1,7,68338965,101958164
18,1,15,4253318,20995139
18,1,18,30462489,49395601
18,1,21,35043793,103691075
18,1,24,10878402,34959816
19,1,6,26725951,265252426
19,1,7,72315586,129055507
19,1,15,4237740,244032232
19,1,18,31790082,57752895
19,1,21,37936045,139810133
19,1,24,11229729,49092073
20,1,6,26102241,40088927
20,1,7,68478432,53218766
20,1,15,4234532,4984503
20,1,18,30629330,38657179
20,1,21,36021934,54185598
20,1,24,11005061,16446235
21,1,6,25741796,127583391
21,1,7,67650064,72136798
21,1,15,4191160,20828325
21,1,18,29127111,89371239
21,1,21,35394970,145572373
21,1,24,10888993,40862731
22,1,6,26348199,260111875
22,1,7,72160068,101526269
22,1,15,4212205,237133795
22,1,18,31744968,131586007
22,1,21,36333981,280790225
22,1,24,11077725,34379540
